x_km,y_km,thickness_ft,fault_density,lateral_ft,proppant_lbft,eur_mboe
6.03,11.63,45.8,0.204,10062.0,1127.0,289.7
11.56,2.1,46.7,0.26,8919.0,2349.0,310.3
14.0,1.82,42.1,0.29,8022.0,2246.0,183.1
12.98,1.99,43.6,0.286,7338.0,1461.0,169.5
18.81,7.9,40.1,0.557,8019.0,1186.0,191.4
2.97,11.9,43.8,0.2,8135.0,1396.0,245.2
10.17,2.83,52.0,0.249,7165.0,1341.0,356.1
8.08,10.87,46.9,0.235,7689.0,2173.0,392.1
9.48,3.34,55.2,0.244,9811.0,1345.0,311.0
2.38,7.77,52.5,0.2,7499.0,1346.0,326.4
2.68,0.49,48.8,0.2,5153.0,1052.0,159.8
5.56,5.95,64.1,0.204,6698.0,1955.0,404.1
6.09,7.85,59.0,0.21,6390.0,2102.0,377.1
8.56,6.44,58.8,0.27,9761.0,2046.0,580.1
12.22,2.85,45.9,0.32,7696.0,1910.0,244.4
12.69,9.94,42.5,0.683,6682.0,2546.0,348.6
8.24,11.64,44.9,0.23,9864.0,1756.0,219.1
8.18,5.51,61.2,0.243,5115.0,2376.0,380.6
4.35,7.63,58.1,0.201,6046.0,2034.0,297.8
11.77,9.48,44.2,0.596,9962.0,1135.0,259.5
6.34,2.9,61.5,0.203,8304.0,2296.0,284.9
0.72,10.37,43.8,0.2,9642.0,1935.0,298.2
8.37,3.36,59.0,0.221,10029.0,2046.0,599.4
9.48,9.31,49.0,0.334,10652.0,1288.0,298.1
4.51,1.35,54.9,0.2,5381.0,1700.0,278.0
11.45,3.46,48.6,0.326,9795.0,2409.0,386.1
11.32,6.4,49.1,0.527,9253.0,1345.0,410.4
14.04,6.3,42.7,0.847,6242.0,1000.0,172.5
12.96,10.21,42.0,0.684,10590.0,1412.0,193.6
13.05,11.95,41.0,0.472,7425.0,1780.0,231.1
6.32,1.29,55.7,0.201,10326.0,2314.0,630.8
15.75,3.26,41.0,0.422,8631.0,2029.0,311.0
10.98,4.29,50.7,0.352,8160.0,2471.0,337.1
8.63,5.75,59.5,0.263,5957.0,1729.0,465.2
12.52,5.93,45.9,0.648,10486.0,1625.0,482.9
7.21,10.27,49.4,0.221,8340.0,1370.0,337.5
10.25,9.25,47.5,0.41,5037.0,1349.0,193.3
14.73,0.23,40.9,0.228,5110.0,2178.0,218.4
17.73,5.46,40.3,0.57,9666.0,1129.0,299.2
18.42,7.42,40.1,0.61,5972.0,1388.0,77.8
10.07,5.52,54.3,0.348,8592.0,2417.0,424.4
10.41,1.57,48.8,0.225,9086.0,1923.0,329.3
16.0,4.77,40.9,0.624,6676.0,1075.0,142.5
6.29,4.94,64.9,0.207,8416.0,2127.0,425.1
16.75,2.25,40.4,0.308,6442.0,1811.0,143.0
9.88,9.08,48.7,0.375,10678.0,2367.0,252.5
2.32,3.86,55.2,0.2,10161.0,2092.0,555.5
1.44,7.07,50.8,0.2,6728.0,1007.0,244.1
16.84,6.19,40.5,0.752,8173.0,1329.0,78.5
1.11,10.53,44.1,0.2,8004.0,1413.0,223.3
5.61,1.46,56.4,0.201,10760.0,2124.0,555.7
6.68,1.37,55.9,0.201,7364.0,1815.0,306.3
3.46,3.6,58.9,0.2,8373.0,2196.0,516.0
6.28,5.17,64.9,0.207,10572.0,1821.0,618.8
14.85,3.58,41.7,0.47,5977.0,1524.0,122.9
0.29,9.16,44.7,0.2,8303.0,1166.0,237.6
16.54,2.94,40.5,0.369,5634.0,1324.0,147.1
17.13,1.02,40.2,0.241,8705.0,1641.0,190.5
7.45,4.97,63.3,0.22,7194.0,1882.0,270.4
3.07,9.28,50.2,0.2,10806.0,2502.0,377.6
12.02,10.21,43.0,0.572,7492.0,1384.0,174.5
2.39,8.8,50.0,0.2,5817.0,2066.0,265.4
7.3,6.69,61.5,0.227,10004.0,1244.0,492.5
19.17,8.69,40.0,0.497,9925.0,2142.0,349.1
19.91,8.18,40.0,0.409,9169.0,1018.0,268.6
15.44,2.81,41.1,0.377,9493.0,2049.0,275.9
6.22,6.61,62.9,0.21,6588.0,1261.0,330.5
13.75,9.25,41.8,0.873,8852.0,1289.0,208.8
14.11,3.81,42.7,0.488,5228.0,1894.0,159.3
7.76,7.85,57.2,0.243,6181.0,1601.0,409.9
12.82,5.78,45.2,0.667,10594.0,1754.0,134.6
0.21,6.04,47.9,0.2,9435.0,1494.0,219.0
4.18,1.08,53.4,0.2,6384.0,2526.0,334.1
10.5,7.99,49.4,0.46,5668.0,1465.0,191.3
3.28,10.39,47.4,0.2,10694.0,1867.0,282.1
3.32,1.7,53.7,0.2,5673.0,2367.0,225.3
16.73,4.39,40.5,0.529,6542.0,2063.0,157.6
19.78,0.58,40.0,0.211,6096.0,1516.0,223.4
11.12,0.36,45.1,0.213,5045.0,1884.0,249.0
16.78,11.88,40.1,0.491,6885.0,1133.0,294.8
19.81,5.92,40.0,0.374,10845.0,1873.0,205.1
2.83,4.27,57.6,0.2,7051.0,1690.0,240.4
8.96,3.3,56.9,0.231,8026.0,2213.0,279.7
7.85,11.76,44.9,0.221,9476.0,2357.0,451.8
1.6,3.03,51.5,0.2,8306.0,1319.0,319.0
15.11,8.71,41.0,0.978,9462.0,1130.0,225.1
8.68,3.41,58.1,0.227,8970.0,1625.0,395.9
9.39,0.85,49.6,0.208,8651.0,1855.0,325.2
3.01,8.2,53.2,0.2,8898.0,1603.0,275.6
3.62,0.02,49.1,0.2,9795.0,2006.0,408.9
18.14,8.11,40.1,0.662,9261.0,1809.0,241.8
0.89,3.0,49.2,0.2,9751.0,2499.0,315.3
4.66,8.95,54.0,0.202,5874.0,1655.0,282.9
5.84,9.24,53.7,0.207,9066.0,1132.0,286.1
9.8,8.69,49.8,0.374,9422.0,1483.0,338.2
11.73,0.29,44.0,0.216,6800.0,1969.0,239.4
9.87,8.44,50.2,0.383,10247.0,1410.0,427.2
1.68,11.88,42.8,0.2,6828.0,1430.0,224.1
4.87,2.91,60.7,0.201,6463.0,1543.0,251.7
16.87,3.29,40.4,0.392,10203.0,2194.0,343.9
12.75,9.76,42.6,0.708,6482.0,2504.0,263.7
12.98,1.92,43.6,0.282,7493.0,1561.0,269.4
13.4,7.93,43.0,0.894,7208.0,1313.0,314.4
15.26,9.06,40.8,0.949,10388.0,1673.0,199.1
1.16,0.45,45.7,0.2,7731.0,1563.0,298.1
7.33,6.65,61.5,0.228,9166.0,2584.0,335.2
10.79,6.91,50.3,0.48,9764.0,1742.0,332.2
6.77,3.64,63.0,0.206,8767.0,2087.0,417.2
16.89,10.52,40.2,0.662,10662.0,2462.0,553.6
9.65,1.95,51.8,0.221,9815.0,2006.0,377.4
15.37,4.37,41.3,0.582,7401.0,1399.0,254.1
17.04,10.18,40.2,0.687,10705.0,1972.0,152.7
10.1,2.29,51.2,0.234,8147.0,1643.0,287.0
18.19,9.86,40.1,0.575,5135.0,1676.0,119.7
11.74,0.95,44.8,0.228,6560.0,2567.0,443.8
17.01,5.87,40.4,0.697,8730.0,1446.0,177.0
6.81,0.9,54.0,0.201,5941.0,1750.0,263.8
9.98,8.13,50.6,0.397,8504.0,1256.0,290.4
10.63,9.49,46.3,0.445,7170.0,1286.0,141.3
2.1,10.2,46.1,0.2,8206.0,1966.0,270.3
7.97,11.78,44.8,0.223,5011.0,2202.0,220.7
18.35,8.06,40.1,0.629,10091.0,2018.0,298.8
12.62,9.23,43.2,0.737,7172.0,1527.0,84.3
3.55,6.07,59.7,0.2,5841.0,1095.0,215.5
6.78,10.95,47.5,0.212,7627.0,1752.0,342.6
3.83,7.73,56.7,0.201,7917.0,1807.0,390.0
0.5,10.6,43.2,0.2,8824.0,2233.0,394.9
18.55,2.83,40.1,0.29,8147.0,2024.0,205.8
8.96,5.96,58.1,0.284,5261.0,2394.0,374.5
6.15,8.76,55.6,0.21,10229.0,2253.0,447.2
11.97,2.43,46.1,0.286,7739.0,1585.0,376.5
0.15,2.54,46.5,0.2,5462.0,2012.0,220.1
5.56,11.74,45.5,0.203,9637.0,2196.0,233.2
14.06,5.22,42.9,0.695,8961.0,2531.0,417.7
12.68,2.18,44.3,0.29,8897.0,1676.0,258.7
19.64,3.98,40.0,0.299,7561.0,2037.0,222.6
12.41,4.77,46.4,0.508,7463.0,1628.0,157.9
9.55,7.48,53.4,0.351,8218.0,2181.0,530.5
15.23,11.08,40.4,0.672,5304.0,2459.0,152.7
18.07,11.84,40.0,0.409,6794.0,2471.0,361.8
14.41,7.82,41.8,0.983,10927.0,1251.0,207.2
19.26,8.4,40.0,0.489,8973.0,1327.0,175.2
15.64,3.86,41.1,0.502,7514.0,2208.0,372.1
17.34,10.29,40.1,0.642,6334.0,2010.0,193.8
2.28,2.61,53.0,0.2,9471.0,2448.0,412.2
14.65,1.28,41.3,0.264,6562.0,1502.0,152.4
8.8,11.68,44.4,0.245,5974.0,2357.0,214.6
11.06,10.37,44.1,0.447,5927.0,2094.0,245.7
13.08,3.64,44.4,0.427,9376.0,1313.0,186.4
19.4,8.1,40.0,0.473,8857.0,1202.0,189.7
19.69,5.6,40.0,0.371,5419.0,2124.0,167.3
5.76,3.88,63.9,0.203,5690.0,1254.0,268.1
14.68,3.44,41.9,0.451,8803.0,2271.0,447.7
15.0,1.63,41.2,0.284,8427.0,1891.0,248.3
6.93,6.59,62.3,0.219,9116.0,1763.0,367.3
2.48,5.36,56.5,0.2,6068.0,1441.0,442.8
0.82,6.15,49.8,0.2,9360.0,2574.0,362.7
15.55,2.58,41.0,0.354,10617.0,2155.0,314.2
9.79,11.26,44.2,0.298,8606.0,2245.0,283.0
19.71,7.66,40.0,0.432,6177.0,2230.0,193.0
9.3,10.8,45.7,0.285,9077.0,1934.0,321.3
19.56,1.31,40.0,0.221,7058.0,2504.0,301.8
8.23,7.47,57.3,0.262,5296.0,1934.0,282.0
15.87,10.19,40.4,0.787,6814.0,1832.0,315.1
1.7,3.97,53.0,0.2,10434.0,1438.0,459.1
11.11,2.34,48.3,0.258,7467.0,1451.0,271.2
16.04,3.18,40.8,0.407,10188.0,2179.0,350.5
18.49,3.28,40.1,0.317,8052.0,1536.0,301.9
16.45,5.37,40.7,0.684,8102.0,2166.0,164.0
0.74,3.91,49.6,0.2,5031.0,2524.0,387.7
7.45,3.26,61.1,0.21,8823.0,1703.0,360.3
0.97,7.78,48.3,0.2,5647.0,1156.0,180.5
2.19,0.64,48.2,0.2,7872.0,2066.0,242.9
13.51,4.08,43.7,0.502,6562.0,1015.0,124.5
14.27,8.28,41.8,0.973,7354.0,2259.0,370.5
15.47,2.11,40.9,0.315,8222.0,1841.0,440.8
17.31,2.65,40.3,0.321,5087.0,1784.0,147.6
14.79,2.41,41.5,0.34,6708.0,1911.0,242.5
16.02,0.01,40.4,0.222,10938.0,1826.0,335.5
0.98,5.69,50.6,0.2,5344.0,1518.0,259.4
4.69,0.47,51.9,0.2,6916.0,1450.0,408.5
12.44,3.28,45.7,0.361,6929.0,1664.0,352.6
17.16,11.94,40.1,0.461,7276.0,2432.0,227.9
0.09,11.02,42.3,0.2,9109.0,1217.0,280.3
10.29,2.58,51.1,0.246,6486.0,1520.0,285.5
13.55,3.72,43.5,0.457,7762.0,1308.0,224.0
0.59,5.56,49.3,0.2,8869.0,1683.0,260.6
8.03,10.13,49.1,0.242,6934.0,1214.0,197.4
17.91,9.63,40.1,0.631,10693.0,2217.0,473.8
13.43,1.51,42.6,0.267,10878.0,1166.0,377.5
4.75,1.49,55.8,0.2,5718.0,2064.0,265.0
17.06,5.0,40.4,0.584,7063.0,1428.0,214.2
6.96,10.44,49.0,0.216,6248.0,1756.0,312.8
17.07,10.59,40.1,0.635,6121.0,1320.0,90.4
5.98,1.29,55.8,0.201,7946.0,2168.0,334.9
11.81,6.89,47.2,0.624,8383.0,2517.0,653.5
7.94,1.87,55.9,0.206,7554.0,1355.0,316.4
5.5,8.23,57.5,0.205,6635.0,2525.0,274.9
17.73,11.0,40.1,0.521,6672.0,1520.0,198.9
3.75,5.46,61.0,0.2,10953.0,1893.0,601.7
1.7,1.0,47.9,0.2,10542.0,2123.0,237.1
6.84,6.95,61.5,0.219,5455.0,1319.0,259.1
14.35,4.9,42.4,0.659,8939.0,1712.0,227.7
16.15,9.73,40.4,0.829,7741.0,1109.0,90.5
19.97,4.08,40.0,0.286,9133.0,2115.0,292.3
5.93,10.5,49.1,0.206,8582.0,1667.0,303.6
8.16,3.28,59.4,0.217,10336.0,2427.0,495.9
2.74,1.89,52.7,0.2,5402.0,1438.0,205.2
11.5,3.68,48.6,0.343,7098.0,2478.0,230.9
19.95,0.42,40.0,0.208,10913.0,1226.0,206.9
14.02,3.37,42.7,0.431,6094.0,1971.0,173.4
11.9,7.92,45.9,0.67,5764.0,1492.0,261.1
7.85,1.71,55.5,0.205,9374.0,1291.0,362.5
18.31,1.34,40.1,0.237,9665.0,1150.0,241.2
9.94,1.59,50.1,0.22,9034.0,2049.0,287.8
2.69,0.93,50.0,0.2,9657.0,1373.0,303.2
7.31,10.5,48.6,0.221,9162.0,1917.0,396.2
1.34,11.33,43.2,0.2,5815.0,2567.0,258.2
4.04,0.56,51.4,0.2,8649.0,1506.0,288.9
0.35,9.12,44.9,0.2,9661.0,1056.0,160.3
9.07,8.85,51.2,0.309,10193.0,1229.0,281.0
12.69,11.96,41.1,0.449,6477.0,1191.0,155.0
6.87,4.17,63.8,0.209,5765.0,1741.0,249.7
8.41,3.43,59.0,0.222,9687.0,2191.0,416.2
19.18,5.44,40.1,0.41,6539.0,1474.0,237.9
15.04,10.28,40.6,0.799,5192.0,1233.0,138.9
10.82,8.74,47.2,0.494,9951.0,2025.0,468.2
5.69,5.66,64.6,0.205,8036.0,1482.0,277.0
17.94,2.93,40.2,0.319,6960.0,1920.0,207.0
4.7,8.72,54.9,0.202,5069.0,2494.0,179.9
6.51,10.25,49.9,0.211,5212.0,1466.0,186.4
18.18,4.8,40.2,0.458,9756.0,1820.0,206.0
10.59,8.02,49.1,0.472,7938.0,2291.0,461.0
14.85,4.8,41.8,0.653,5898.0,2107.0,231.2
11.81,5.74,48.0,0.543,7151.0,2202.0,382.9
13.07,6.3,44.5,0.754,5992.0,2236.0,180.5
5.99,9.31,53.5,0.208,5677.0,1864.0,207.0
4.83,11.73,45.3,0.201,6658.0,1858.0,198.4
6.45,5.33,64.7,0.209,8297.0,2150.0,461.0
3.11,4.11,58.4,0.2,6260.0,2116.0,447.3
17.49,4.48,40.3,0.485,7062.0,2072.0,256.3
5.66,1.61,57.0,0.201,7868.0,1611.0,310.1
11.23,3.56,49.4,0.322,7520.0,2326.0,297.4
15.84,1.04,40.6,0.252,5772.0,1378.0,173.1
15.68,5.13,41.1,0.694,5233.0,1249.0,319.6
8.77,2.01,54.4,0.213,5213.0,1552.0,289.2
9.53,4.16,56.1,0.267,7101.0,1406.0,302.9
19.89,9.52,40.0,0.386,9313.0,2061.0,292.5
13.49,2.95,43.3,0.371,5788.0,1370.0,197.6
16.29,7.34,40.6,0.912,9722.0,2050.0,343.7
18.05,10.81,40.1,0.507,9294.0,1821.0,234.3
15.75,6.8,40.9,0.916,5024.0,1244.0,91.7
3.7,2.33,56.5,0.2,5160.0,1413.0,276.4
11.24,4.14,49.8,0.359,6170.0,1835.0,246.4
2.04,7.08,52.8,0.2,5337.0,2173.0,303.4
13.06,6.08,44.6,0.729,8188.0,1637.0,478.5
19.11,1.78,40.1,0.237,5238.0,1373.0,177.7
10.25,5.36,53.6,0.356,9816.0,1472.0,388.5
8.66,6.52,58.3,0.276,7958.0,1152.0,622.0
0.72,3.21,48.9,0.2,9368.0,1040.0,294.1
19.2,7.35,40.1,0.494,9504.0,2557.0,219.0
2.06,0.84,48.4,0.2,8041.0,1154.0,242.9
0.82,4.04,49.9,0.2,10552.0,1200.0,452.2
4.92,9.65,51.7,0.202,10941.0,2394.0,350.9
1.31,3.11,50.7,0.2,7155.0,2062.0,258.8
9.1,7.26,55.3,0.312,5755.0,1698.0,328.8
10.32,4.92,53.4,0.34,7179.0,2038.0,288.7
6.25,3.8,63.8,0.204,6340.0,2496.0,358.3
1.02,10.99,43.3,0.2,8186.0,1159.0,288.0
2.23,4.12,55.2,0.2,7270.0,1390.0,250.4
7.69,2.84,59.5,0.209,7883.0,2376.0,297.8
1.21,10.91,43.6,0.2,9579.0,2249.0,256.1
13.96,8.95,41.8,0.917,6644.0,2591.0,294.9
4.14,8.18,55.9,0.201,8225.0,1502.0,348.4
6.04,0.59,53.1,0.2,7011.0,2512.0,289.2
7.88,1.57,55.0,0.205,9710.0,1550.0,299.0
8.33,7.66,56.5,0.267,8837.0,2144.0,374.0
0.03,2.51,46.2,0.2,5051.0,2412.0,272.3
2.24,2.71,53.1,0.2,8960.0,1273.0,269.9
17.26,9.35,40.2,0.745,6021.0,1329.0,124.6
0.02,3.43,47.0,0.2,9347.0,1930.0,266.6
10.16,0.86,47.9,0.213,8404.0,2350.0,313.1
9.79,0.44,47.7,0.207,7409.0,1126.0,251.2
6.66,5.32,64.6,0.211,9164.0,2361.0,744.9
8.63,7.41,56.4,0.282,10140.0,1549.0,414.0
15.61,10.43,40.4,0.765,9672.0,1650.0,251.6
16.82,1.33,40.3,0.256,8272.0,1544.0,289.7
5.21,2.36,59.4,0.201,9336.0,2458.0,530.5
6.45,6.36,63.4,0.212,7483.0,1209.0,286.7
4.85,4.37,63.6,0.201,9734.0,1919.0,738.3
9.6,5.79,55.9,0.321,9974.0,1237.0,352.2
13.67,11.09,41.0,0.626,5824.0,2486.0,223.6
4.57,6.54,61.6,0.202,6428.0,2277.0,385.9
6.61,4.98,64.7,0.21,6620.0,1374.0,334.0
18.61,11.87,40.0,0.369,5996.0,1476.0,265.1
0.97,0.78,45.9,0.2,7355.0,1610.0,227.2
9.22,11.19,44.9,0.271,6158.0,1649.0,257.0
14.23,6.02,42.5,0.823,8573.0,2308.0,293.7
3.01,6.05,57.9,0.2,5610.0,1903.0,332.6
0.95,11.06,43.1,0.2,6620.0,1685.0,214.4
2.76,6.09,57.0,0.2,8993.0,2151.0,383.6
18.38,5.26,40.2,0.48,7391.0,1733.0,274.0
0.19,3.27,47.3,0.2,7529.0,1205.0,259.4
3.77,7.91,56.0,0.201,9788.0,1172.0,297.4
0.63,6.84,48.5,0.2,10907.0,1522.0,471.2
2.21,2.57,52.7,0.2,8390.0,1965.0,402.5
12.4,8.51,44.2,0.742,5474.0,1216.0,156.2
4.83,7.73,58.6,0.203,5617.0,1880.0,252.5
11.38,4.77,49.5,0.417,10811.0,1431.0,383.7
11.8,0.05,43.6,0.214,9075.0,2113.0,358.8
16.99,5.36,40.4,0.636,9515.0,1045.0,124.2
0.09,0.07,43.5,0.2,9055.0,1750.0,315.9
17.07,0.9,40.2,0.238,6078.0,1084.0,190.4
12.38,5.17,46.4,0.55,7690.0,1529.0,114.4
3.25,0.98,51.4,0.2,9788.0,1025.0,317.9
15.46,3.31,41.2,0.433,10198.0,1751.0,358.8
17.11,7.87,40.3,0.824,6424.0,2227.0,261.4
5.09,3.7,63.0,0.201,8576.0,1160.0,412.6
18.38,11.97,40.0,0.377,5943.0,2176.0,185.8
9.09,11.0,45.5,0.27,10750.0,1935.0,286.3
12.07,7.02,46.4,0.671,6513.0,1807.0,114.9
19.69,11.6,40.0,0.314,9360.0,1959.0,368.1
7.23,10.42,48.9,0.22,6387.0,1537.0,274.6
16.26,3.83,40.7,0.478,8696.0,2137.0,388.4
6.37,9.0,54.6,0.212,8956.0,2247.0,344.2
15.98,1.64,40.6,0.28,6971.0,2245.0,287.5
12.01,8.21,45.3,0.686,9913.0,1431.0,159.9
4.33,5.89,62.2,0.201,10312.0,2046.0,414.5
8.28,0.2,49.8,0.202,10130.0,1237.0,333.4
6.35,3.29,62.6,0.204,6985.0,1793.0,394.3
1.56,11.46,43.2,0.2,9466.0,1004.0,345.8
0.6,3.79,49.0,0.2,8357.0,1310.0,267.3
6.93,2.18,58.6,0.203,8556.0,2011.0,334.5
0.38,2.25,46.8,0.2,7865.0,2399.0,263.2
3.31,5.75,59.3,0.2,8602.0,1078.0,283.2
14.5,10.11,40.9,0.816,5814.0,1894.0,468.6
14.16,9.1,41.6,0.92,7453.0,2019.0,319.9
14.77,5.24,41.9,0.723,6066.0,2492.0,331.3
6.34,2.5,60.2,0.202,6681.0,2048.0,321.2
17.8,0.55,40.1,0.224,5767.0,1165.0,163.0
11.88,5.55,47.8,0.533,6275.0,1235.0,253.2
2.52,9.78,47.8,0.2,9692.0,2017.0,324.2
2.87,8.76,51.3,0.2,8299.0,1345.0,278.0
13.86,4.9,43.2,0.637,5142.0,2485.0,153.0
3.46,7.14,57.3,0.2,9731.0,2473.0,423.6
10.15,5.23,54.1,0.341,10457.0,2518.0,460.5
19.84,6.95,40.0,0.405,10283.0,1469.0,217.5
0.08,6.21,47.4,0.2,9938.0,2147.0,391.6
0.33,8.17,46.1,0.2,10953.0,2061.0,405.9
19.86,6.09,40.0,0.376,8518.0,1057.0,200.2
11.69,11.29,42.3,0.439,10776.0,1425.0,231.8
2.54,5.14,56.8,0.2,10693.0,1331.0,405.8
17.95,0.19,40.1,0.217,6879.0,1593.0,189.3
17.61,2.84,40.2,0.325,10181.0,2525.0,336.3
10.72,6.01,51.5,0.432,9755.0,2353.0,538.9
12.44,6.49,45.8,0.689,9655.0,1469.0,175.5
5.46,6.63,62.7,0.205,10378.0,1848.0,738.4
1.01,8.57,47.1,0.2,7305.0,1308.0,238.4
11.89,3.3,47.1,0.337,7400.0,1444.0,274.4
5.9,7.98,58.6,0.208,8840.0,1104.0,283.9
13.27,8.45,42.9,0.87,9427.0,2028.0,472.1
16.72,4.94,40.5,0.602,10278.0,2051.0,287.3
0.36,4.83,48.7,0.2,10255.0,2342.0,371.8
11.91,2.15,45.9,0.27,9328.0,2394.0,308.3
4.63,4.97,63.5,0.201,10741.0,1256.0,414.7
17.48,9.44,40.2,0.707,6072.0,2189.0,230.9
5.07,10.91,47.6,0.202,10702.0,1216.0,334.2
12.22,7.12,45.9,0.698,5385.0,1598.0,180.1
11.07,3.59,49.9,0.315,8334.0,1825.0,265.0
7.92,8.19,55.8,0.249,5541.0,1079.0,180.4
13.55,8.88,42.3,0.882,8408.0,1251.0,173.3
14.52,3.99,42.2,0.523,7341.0,1434.0,246.8
11.34,9.92,44.3,0.51,5490.0,1204.0,206.1
15.17,0.88,40.9,0.248,8889.0,2495.0,362.2
19.67,0.13,40.0,0.208,9387.0,1461.0,260.6
8.39,1.48,53.7,0.207,6045.0,1802.0,285.5
10.29,1.87,49.8,0.229,9167.0,2594.0,374.3
0.25,10.55,43.0,0.2,6074.0,1907.0,154.3
15.92,5.1,40.9,0.678,5824.0,1658.0,162.6
10.4,3.3,51.9,0.273,5884.0,2488.0,255.1
8.16,5.15,61.4,0.238,8594.0,1356.0,290.3
1.88,4.74,54.2,0.2,9673.0,1287.0,309.7
17.79,3.62,40.2,0.378,8581.0,1857.0,267.5
7.9,1.65,55.3,0.205,9856.0,1684.0,314.4
13.65,7.87,42.7,0.922,8549.0,2275.0,191.8
2.99,1.64,52.7,0.2,9784.0,1067.0,430.9
19.23,9.31,40.0,0.469,10859.0,1988.0,194.2
3.57,2.42,56.4,0.2,7346.0,2137.0,333.4
3.99,8.78,53.6,0.201,5900.0,2555.0,233.0
17.18,9.67,40.2,0.727,5812.0,1233.0,114.8
18.25,1.5,40.1,0.243,8585.0,1394.0,228.2
4.24,1.04,53.4,0.2,8283.0,2492.0,312.8
9.4,11.39,44.4,0.274,6105.0,2009.0,257.7
14.67,5.56,42.0,0.771,10293.0,1061.0,420.0
17.57,7.56,40.2,0.749,10740.0,1124.0,342.9
7.58,0.28,50.9,0.201,6519.0,2257.0,353.3
10.34,3.34,52.2,0.272,6241.0,1908.0,195.8
14.83,6.06,41.8,0.849,6284.0,1905.0,175.2
14.62,10.63,40.7,0.74,7325.0,2408.0,286.8
15.66,3.26,41.0,0.424,10119.0,1386.0,343.8
11.4,9.3,45.1,0.554,8576.0,1257.0,438.0
2.09,7.95,51.3,0.2,5405.0,1982.0,294.9
18.08,1.38,40.1,0.241,7838.0,2412.0,324.3
17.31,3.52,40.3,0.395,5542.0,1424.0,337.7
15.96,2.85,40.8,0.375,7437.0,2090.0,249.7
2.0,5.31,54.6,0.2,7421.0,1244.0,263.5
4.09,7.62,57.6,0.201,8890.0,1275.0,354.9
14.87,5.2,41.8,0.717,8297.0,2442.0,189.9
0.46,2.93,47.8,0.2,10249.0,1189.0,315.3
19.58,8.35,40.0,0.447,5098.0,1039.0,82.9
7.54,7.01,60.2,0.235,9644.0,2240.0,414.6
14.39,6.23,42.3,0.859,5136.0,1580.0,149.2
17.75,6.65,40.2,0.675,6826.0,1635.0,280.1
7.89,2.66,58.5,0.21,10278.0,2280.0,597.4
6.38,8.17,57.8,0.213,9142.0,1288.0,290.4
12.17,4.65,47.0,0.475,6032.0,2041.0,432.0
11.62,4.36,48.6,0.403,7945.0,1502.0,282.5
8.18,1.8,55.2,0.207,9331.0,1167.0,346.6
12.04,7.16,46.4,0.672,10624.0,2100.0,191.4
18.71,7.23,40.1,0.561,8806.0,1510.0,193.0
9.35,4.08,56.7,0.258,5148.0,2387.0,338.4
3.93,10.32,48.4,0.201,7998.0,2470.0,345.3
7.54,10.15,49.6,0.228,5918.0,2358.0,268.9
7.88,1.31,54.1,0.204,5287.0,1516.0,236.0
2.62,8.34,51.8,0.2,8591.0,1379.0,232.3
3.26,4.73,59.4,0.2,9662.0,2428.0,464.7
13.69,12.0,40.7,0.499,5216.0,1725.0,259.2
6.79,2.7,60.5,0.204,9702.0,2132.0,573.0
19.1,3.37,40.1,0.295,9238.0,2323.0,290.4
4.87,5.31,63.9,0.202,9512.0,1444.0,570.2
1.98,3.22,53.1,0.2,6468.0,1191.0,187.0
15.07,8.3,41.1,0.996,7362.0,2000.0,133.1
17.62,5.77,40.3,0.614,5719.0,1944.0,353.1
5.56,2.65,60.7,0.201,6433.0,1432.0,325.2
4.04,6.08,61.2,0.201,6817.0,1936.0,321.9
3.72,10.67,47.2,0.2,6917.0,2265.0,278.0
10.44,9.51,46.6,0.422,6050.0,1560.0,168.4
9.37,5.99,56.6,0.31,6132.0,1388.0,270.6
5.19,3.46,62.6,0.201,10409.0,2160.0,528.4
0.9,2.16,48.0,0.2,9703.0,2257.0,376.0
9.63,10.54,45.8,0.313,7067.0,2527.0,214.7
19.19,8.52,40.1,0.498,10686.0,1236.0,282.9
13.05,6.87,44.2,0.803,6434.0,2423.0,184.3
9.91,10.55,45.4,0.332,7441.0,2224.0,218.7
2.21,1.46,50.2,0.2,9881.0,2123.0,498.4
5.05,8.19,57.3,0.203,7657.0,1501.0,491.2
5.9,2.6,60.6,0.202,6408.0,1036.0,378.2
15.3,1.45,40.9,0.273,7211.0,1812.0,266.5
17.53,5.59,40.3,0.605,8004.0,1457.0,197.4
18.03,4.65,40.2,0.457,8724.0,1464.0,232.7
19.69,11.29,40.0,0.329,7434.0,2483.0,282.2
19.65,3.89,40.0,0.294,7588.0,1245.0,186.2
19.06,9.78,40.0,0.469,6584.0,2495.0,336.6
1.44,8.99,47.4,0.2,8212.0,1806.0,200.5
2.76,8.02,53.0,0.2,6317.0,2341.0,280.2
6.09,11.04,47.4,0.206,10205.0,1454.0,386.3
11.06,4.9,50.7,0.397,9484.0,2014.0,287.3
1.94,4.68,54.4,0.2,7462.0,1891.0,308.1
16.92,1.93,40.3,0.284,9483.0,2479.0,360.6
12.34,3.31,46.0,0.359,5042.0,1287.0,251.0
10.85,10.56,44.1,0.413,7067.0,1327.0,149.6
3.31,5.69,59.3,0.2,7642.0,2518.0,303.6
5.07,4.1,63.6,0.201,7819.0,1157.0,274.2
3.21,2.59,55.9,0.2,9492.0,2015.0,304.5
17.04,5.82,40.4,0.688,10777.0,1097.0,140.7
