hour,speed,flow,p_suct,p_disc,t_suct,t_disc,vib,power
392,8396.42,111.32,349.4,1037.25,88.27,233.88,2.14,174.63
393,8331.42,107.59,349.59,1035.28,91.8,235.71,2.42,169.93
394,8337.55,104.77,346.36,1018.05,89.34,232.06,2.02,158.78
395,8193.14,102.27,352.28,1030.11,89.16,231.61,1.97,162.1
396,8072.76,97.82,347.37,994.14,89.93,229.12,2.18,154.29
397,8034.34,89.9,348.54,1000.96,89.11,227.08,2.07,136.59
398,7973.68,87.1,350.0,986.73,89.4,226.21,2.01,129.59
399,7832.69,80.06,350.36,977.89,90.15,224.04,2.12,118.81
400,7762.05,73.94,344.88,965.13,89.37,228.78,2.1,106.63
401,7730.53,75.64,349.31,978.99,89.36,221.25,2.22,112.2
402,7783.81,77.63,352.39,976.88,88.48,221.81,2.12,114.26
403,7742.79,74.7,348.86,965.94,88.27,221.41,2.14,105.01
404,7805.72,79.41,349.33,976.93,90.09,222.85,2.21,115.96
405,7759.8,81.52,350.49,980.13,90.46,225.45,2.36,121.93
406,7875.16,83.24,349.62,989.71,87.86,226.73,2.42,127.0
407,8016.01,88.55,346.91,1006.1,91.14,233.85,2.22,139.96
408,7900.29,88.31,349.89,995.47,91.15,232.3,2.23,133.9
409,8096.3,93.46,352.98,1009.29,91.46,226.57,2.17,144.05
410,8227.25,97.4,346.85,995.27,90.45,229.01,2.28,149.51
411,8208.97,98.67,348.88,1008.56,90.96,235.77,2.27,150.0
412,8371.89,109.09,345.86,1008.19,93.28,238.89,2.42,166.7
413,8437.53,107.38,352.82,1044.47,89.55,237.93,1.96,173.07
414,8386.37,108.07,349.72,1031.58,88.43,237.35,2.2,168.21
415,8406.79,108.97,347.45,1020.88,87.7,229.47,2.29,172.56
416,8373.38,107.93,350.28,1041.66,92.63,242.5,2.23,177.36
417,8316.63,107.94,346.39,1012.26,92.65,239.13,2.09,165.61
418,8231.37,100.5,346.9,1004.17,88.61,229.45,2.01,155.34
419,8210.58,98.06,345.62,1002.26,88.91,236.7,2.33,148.25
420,7974.87,89.82,346.8,993.22,89.51,229.7,2.09,132.28
421,7885.44,82.94,354.07,1003.29,91.84,225.0,1.94,131.71
422,7770.83,78.97,347.8,974.46,88.07,224.04,2.34,112.41
423,7657.01,72.93,351.4,976.95,87.05,219.3,2.3,102.64
424,7626.01,71.1,347.49,954.68,93.25,226.84,2.22,101.44
425,7626.47,71.02,352.28,974.48,90.47,224.25,2.1,103.98
426,7639.85,73.72,346.92,963.06,90.68,222.87,2.21,108.03
427,7733.77,73.34,350.12,979.47,89.69,227.65,2.41,113.71
428,7578.57,67.75,350.16,953.41,90.7,222.03,2.0,93.12
429,7731.92,73.61,356.98,988.29,87.73,218.82,1.99,106.68
430,7689.81,77.61,351.89,982.92,88.74,223.04,2.13,119.08
431,7941.45,84.46,348.22,968.87,90.16,224.89,2.2,125.02
432,7953.3,87.84,352.06,1000.68,86.59,224.05,2.13,135.21
433,7968.49,85.32,356.41,1016.56,89.55,227.79,2.3,129.52
434,8123.17,100.91,345.11,994.88,89.45,230.78,2.37,156.26
435,8143.73,97.17,347.47,1002.19,89.55,228.77,2.25,150.75
436,8264.79,101.18,349.29,1009.19,89.17,226.48,2.3,156.29
437,8243.11,102.54,348.75,1010.95,88.51,231.48,2.25,156.61
438,8206.94,101.21,349.0,1014.33,87.27,226.37,2.22,157.4
439,8333.23,103.68,346.09,1008.03,90.22,231.81,2.03,165.07
440,8213.96,101.32,354.21,1025.39,89.55,228.2,2.06,155.32
441,8235.55,103.56,345.73,1000.01,87.94,226.63,2.01,155.6
442,8111.33,95.92,349.4,1003.93,90.09,231.46,2.18,144.49
443,8074.48,95.69,353.14,1021.6,89.56,231.09,2.24,147.88
444,7920.5,86.29,349.91,985.62,89.31,225.07,1.99,127.85
445,7701.6,77.52,347.06,968.23,86.76,218.47,2.23,115.21
446,7732.8,77.12,345.95,963.37,91.02,223.64,2.08,112.44
447,7606.53,72.99,349.31,960.09,88.15,220.25,2.08,104.26
448,7647.53,69.64,347.73,951.02,90.09,220.3,2.14,98.91
449,7506.51,70.63,350.62,953.23,88.79,219.61,2.08,101.3
450,7455.78,66.58,345.8,938.47,89.42,220.22,2.35,87.17
451,7565.36,63.98,352.44,966.52,91.73,222.18,2.23,94.99
452,7638.34,73.0,350.35,974.98,90.8,220.97,2.35,103.94
453,7708.93,77.57,350.57,966.69,91.7,222.1,2.15,110.17
454,7640.82,75.08,354.32,981.27,90.5,223.13,2.16,110.84
455,7769.84,81.0,348.69,969.37,90.59,222.61,2.49,117.02
456,7931.72,85.46,347.82,984.29,87.33,222.47,1.96,128.25
457,7959.86,84.77,348.36,992.51,89.52,228.35,2.39,127.72
458,8057.41,93.76,349.42,1000.37,89.66,234.25,2.45,141.41
459,8189.38,96.75,349.73,1008.21,91.84,232.1,2.32,153.12
460,8195.27,99.84,347.51,1015.67,89.24,233.51,2.16,157.69
461,8175.15,101.23,343.93,998.64,90.4,230.6,2.42,155.46
462,8216.64,96.91,348.32,1003.16,90.34,233.87,2.16,150.05
463,8140.0,96.89,351.08,1012.63,91.74,234.84,2.1,147.32
464,8127.68,97.03,350.41,1006.66,89.8,231.9,2.15,154.98
465,8113.36,93.33,353.6,1019.87,91.24,235.3,2.12,141.71
466,8089.83,90.38,355.87,1021.0,87.44,226.77,2.06,140.48
467,8115.08,93.43,352.28,1003.17,87.58,225.56,2.37,140.9
468,7908.93,89.78,354.15,1004.54,86.57,227.74,2.09,135.14
469,7732.82,78.11,352.3,980.99,91.18,226.38,2.21,113.18
470,7713.14,73.51,355.13,990.16,91.01,220.8,2.0,106.6
471,7566.91,65.97,355.55,983.05,91.35,224.84,2.24,100.21
472,7542.99,69.24,352.85,969.46,88.98,219.16,2.08,96.12
473,7532.63,67.41,352.12,962.51,89.15,221.25,2.08,99.09
474,7577.54,69.79,349.38,962.12,89.82,222.45,2.23,101.84
475,7546.52,65.17,349.88,951.66,92.17,218.0,2.42,90.51
476,7610.3,72.29,348.99,956.2,92.54,223.77,2.3,104.07
477,7565.48,70.72,351.86,950.68,91.19,219.49,2.32,98.43
478,7729.47,75.39,347.84,966.74,90.5,224.79,2.2,105.55
479,7914.7,86.11,349.43,986.08,92.0,229.81,2.15,124.52
480,7931.08,85.88,342.93,972.23,89.62,230.25,2.32,127.96
481,8071.33,94.36,355.17,1008.68,89.41,228.25,2.12,145.57
482,8071.36,94.8,349.34,1000.8,89.81,229.73,2.33,144.7
483,8177.11,101.34,351.37,1021.1,88.53,233.85,2.4,157.1
484,8280.31,100.68,354.37,1024.96,89.74,236.23,2.09,156.89
485,8267.47,101.07,350.9,1025.03,88.32,234.35,2.11,157.97
486,8307.3,105.35,354.33,1029.01,91.54,234.85,2.13,160.56
487,8294.1,103.95,346.27,1012.44,90.82,236.11,2.0,161.76
488,8220.5,99.31,357.19,1039.13,92.14,235.91,2.14,159.51
489,8303.72,101.03,353.26,1031.22,87.56,231.61,2.41,159.96
490,8147.54,98.71,350.63,1014.84,92.85,239.31,2.05,158.18
491,8000.04,92.15,354.28,1010.46,87.64,225.06,2.4,137.95
492,7970.05,86.68,346.49,979.52,88.2,227.54,2.14,125.93
493,7850.85,83.97,349.13,987.8,89.07,226.03,2.52,125.43
494,7750.78,78.33,354.33,983.6,91.96,222.28,2.11,115.7
495,7722.75,74.0,344.4,959.18,90.34,223.94,2.19,100.42
496,7554.87,71.07,351.68,962.11,89.63,219.0,2.11,103.15
497,7560.13,70.03,351.6,966.82,88.81,221.43,2.14,101.35
498,7492.25,66.76,355.91,966.38,87.94,217.1,2.46,88.89
499,7553.28,65.84,345.25,936.57,91.7,218.39,2.32,90.6
500,7694.55,76.08,354.83,990.43,91.2,228.59,2.37,110.39
501,7744.6,77.74,348.32,977.94,92.03,229.85,2.02,112.8
502,7756.76,81.03,348.66,965.24,90.6,226.47,2.31,112.51
503,7780.28,80.63,346.33,974.2,86.04,222.52,2.06,119.3
504,7839.1,84.02,346.74,981.28,88.13,225.35,2.0,129.59
505,8078.12,92.6,351.21,1010.21,90.7,232.84,2.24,143.05
506,8305.88,104.58,346.66,1012.35,89.45,232.46,2.26,155.97
507,8292.76,104.08,352.22,1024.55,89.16,232.72,2.23,164.11
508,8314.81,107.07,348.01,1018.58,88.35,232.66,2.33,166.94
509,8389.04,106.78,346.36,1022.34,91.42,235.13,2.37,165.25
510,8345.5,103.62,348.42,1020.62,90.68,235.79,2.45,163.59
511,8422.79,105.31,351.01,1031.47,90.75,235.48,2.06,169.92
512,8352.65,105.96,349.17,1020.43,89.05,232.95,2.46,164.03
513,8316.7,103.29,350.1,1025.29,90.26,235.77,2.5,157.78
514,8265.52,100.67,352.09,1028.85,87.99,234.81,2.16,152.89
515,8175.24,96.78,353.25,1021.69,89.81,230.07,1.96,148.85
516,8134.63,91.19,349.07,1002.75,86.21,225.99,1.99,138.49
517,7942.19,84.97,346.87,990.89,87.65,225.38,2.13,126.01
518,7866.69,87.96,350.23,988.3,89.52,224.5,2.5,128.78
519,7896.41,84.98,351.41,998.05,93.56,230.4,2.21,129.81
520,7734.13,75.74,345.62,956.22,87.3,219.53,2.13,109.3
521,7660.97,72.54,347.33,967.72,88.13,223.42,2.12,105.62
522,7799.59,76.64,347.84,978.29,90.33,226.97,2.01,115.14
523,7689.04,74.36,349.38,969.92,92.65,223.87,2.35,105.68
524,7785.89,81.8,347.72,985.15,90.3,230.42,2.19,118.29
525,7805.33,81.75,352.12,989.08,91.05,228.67,2.52,119.87
526,7924.19,90.24,345.18,977.47,89.49,225.07,2.29,131.23
527,7997.07,91.15,345.26,982.48,89.23,230.1,2.32,129.24
528,8149.25,94.2,349.0,1009.58,90.12,232.75,2.17,143.44
529,8218.57,103.28,349.47,1023.75,89.01,233.52,2.05,165.77
530,8234.31,102.61,345.64,1002.39,91.09,234.42,2.09,159.6
531,8292.99,105.25,348.18,1018.69,87.59,232.13,2.02,166.25
532,8408.68,112.76,348.8,1029.46,91.33,239.04,2.38,179.62
533,8484.38,111.13,348.82,1033.07,90.06,237.93,2.2,182.05
534,8451.31,109.3,350.46,1045.02,89.68,237.9,2.38,174.08
535,8537.3,116.23,348.02,1035.5,87.54,232.04,2.28,183.87
536,8429.04,107.68,354.43,1045.06,88.53,235.98,2.2,177.03
537,8444.91,110.18,351.46,1044.79,91.8,239.3,2.07,178.5
538,8199.03,98.19,347.58,1004.39,89.69,233.02,2.25,148.38
539,8152.61,98.23,350.28,1018.35,90.42,234.47,2.17,154.68
540,8063.26,89.41,350.37,993.38,88.68,225.63,2.34,132.7
541,7951.09,90.15,353.64,1004.3,89.96,229.99,2.09,134.21
542,7973.55,88.53,348.2,993.31,87.94,227.31,2.29,130.53
543,7885.67,83.57,352.3,999.24,90.15,228.23,2.45,127.01
544,7793.55,78.48,350.13,976.11,90.56,224.43,2.25,115.19
545,7749.44,78.36,354.47,984.94,90.48,227.32,2.33,119.78
546,7772.18,77.14,353.87,991.01,88.64,222.33,2.3,113.76
547,7626.42,75.69,350.59,971.86,89.49,221.86,2.5,108.78
548,7844.3,85.32,349.21,980.11,90.81,223.86,2.26,129.83
549,7888.78,84.97,351.52,997.12,89.68,228.9,2.31,130.84
550,7953.84,86.08,349.46,989.49,89.57,225.77,2.2,128.86
551,8074.79,92.84,355.04,1006.61,92.86,229.56,2.08,136.33
552,8134.44,94.53,350.24,1003.15,88.57,227.38,2.02,141.47
553,8285.35,103.54,348.78,1020.83,91.62,236.41,2.41,159.21
554,8298.35,102.96,348.62,1009.57,88.27,228.09,2.07,158.89
555,8369.82,106.99,346.36,1016.22,90.98,231.75,2.34,165.76
556,8406.89,110.77,351.67,1029.35,91.06,236.75,2.3,180.08
557,8430.04,111.28,347.54,1034.15,89.23,233.46,2.38,173.71
558,8456.58,111.2,353.29,1053.78,88.17,238.86,2.17,178.43
559,8395.72,108.91,346.12,1016.73,87.04,235.75,2.13,171.3
560,8434.75,109.8,350.38,1035.99,89.08,235.78,2.3,177.38
561,8426.42,109.02,353.45,1035.42,90.79,238.32,2.19,165.81
562,8241.3,103.14,343.54,1001.74,88.38,232.15,2.04,153.17
563,8164.74,97.23,356.05,1037.39,90.15,236.9,2.5,153.67
564,8125.18,97.51,348.72,1003.48,87.79,227.72,2.09,152.93
565,8023.54,91.14,350.42,1000.19,89.65,223.99,2.05,143.71
566,7869.0,85.35,351.71,988.91,88.28,224.01,2.17,125.55
567,7785.49,82.34,352.18,991.74,89.88,229.56,2.4,122.29
568,7842.92,79.55,350.82,965.65,89.25,221.82,1.89,111.55
569,7690.78,78.75,352.99,980.83,88.21,220.68,2.39,117.23
570,7595.44,73.1,351.56,970.54,89.01,221.91,2.1,110.21
571,7669.55,73.81,355.28,984.4,88.6,223.46,2.26,112.11
572,7810.58,76.77,351.57,985.93,88.03,223.27,2.11,113.5
573,7742.48,77.05,355.89,999.5,91.62,232.59,2.51,113.16
574,7883.72,83.17,352.7,988.37,89.46,223.61,2.22,123.28
575,7876.53,84.52,344.58,983.32,86.7,227.74,2.1,130.0
576,8092.71,96.73,357.83,1023.1,89.07,230.05,2.16,148.83
577,8202.39,101.94,348.28,1016.54,91.37,233.94,2.22,153.41
578,8294.29,101.05,354.49,1029.8,88.86,230.96,2.24,158.06
579,8366.38,104.91,350.08,1022.49,92.25,238.49,2.29,163.78
580,8215.52,98.45,353.18,1024.96,88.72,231.74,2.21,148.79
581,8356.18,106.27,347.93,1019.57,90.76,236.38,2.02,167.26
582,8363.18,108.67,351.88,1036.67,91.55,234.47,2.19,175.25
583,8278.56,106.2,349.24,1018.55,90.68,235.89,2.32,171.46
584,8409.69,111.36,354.74,1042.11,87.94,234.05,2.13,174.69
585,8413.83,110.05,351.32,1029.36,88.59,233.42,2.34,176.39
586,8169.39,97.8,352.81,1011.11,91.76,232.45,2.21,153.01
587,8045.76,91.43,343.51,979.85,88.79,226.91,2.17,137.18
588,8006.77,89.8,349.74,992.01,91.46,228.01,2.38,131.41
589,8001.32,88.84,351.23,997.12,89.35,226.79,1.94,130.56
590,7753.78,76.45,350.67,979.86,90.21,223.94,2.11,112.5
591,7721.48,77.95,352.88,983.73,87.92,226.46,2.4,114.98
592,7699.1,78.42,348.9,983.11,89.09,227.33,2.49,114.34
593,7535.37,65.9,350.15,947.53,88.69,215.0,2.6,95.85
594,7565.5,69.39,353.54,970.33,90.34,225.55,2.26,98.78
595,7548.32,70.2,343.16,943.81,90.14,220.78,2.31,92.78
596,7631.53,68.8,351.77,973.89,90.69,223.6,2.36,99.25
597,7744.13,77.16,349.0,975.96,89.26,225.89,2.41,114.29
598,7801.42,79.81,347.26,970.45,88.6,219.32,2.26,117.02
599,7790.37,80.14,351.01,981.38,90.27,224.57,2.35,118.83
600,7950.7,88.13,353.68,1001.86,88.46,224.76,2.27,137.63
601,7961.26,91.71,353.12,1010.28,91.62,231.61,2.28,137.14
602,8172.72,99.34,349.59,1002.78,89.83,230.75,2.07,150.04
603,8193.96,96.06,352.63,1023.03,89.51,231.98,2.16,154.79
604,8206.25,98.56,352.6,1023.64,90.69,233.25,2.13,148.34
605,8294.23,106.81,349.74,1020.76,89.89,236.06,2.05,167.07
606,8280.57,107.88,347.92,1018.4,87.51,232.82,1.98,172.49
607,8355.67,105.03,348.09,1016.59,88.41,232.66,2.16,167.47
608,8180.23,99.71,352.51,1024.3,91.59,234.85,2.17,158.15
609,8226.78,101.36,349.87,1030.41,90.13,239.74,2.23,162.92
610,8073.18,93.14,346.86,998.33,87.48,228.69,2.28,138.33
611,8031.38,89.31,344.95,981.43,90.53,227.89,2.23,136.62
612,7823.75,84.49,352.5,993.47,89.16,221.76,2.17,122.67
613,7819.77,82.39,348.36,981.53,88.69,222.18,2.07,118.22
614,7656.06,73.53,350.99,967.81,88.28,219.3,2.36,107.0
615,7643.9,68.11,353.72,964.86,91.5,221.12,2.23,95.74
616,7619.36,71.31,346.07,952.99,87.05,217.68,2.17,101.67
617,7525.43,65.38,349.86,962.47,88.74,221.06,2.22,94.86
618,7495.64,66.17,349.49,944.51,90.18,217.09,2.15,97.37
619,7565.44,69.17,351.14,963.08,92.37,221.46,2.16,100.13
620,7581.98,68.32,353.72,971.64,90.83,223.37,2.17,96.77
621,7598.62,70.9,346.01,954.66,88.73,223.59,2.19,102.77
622,7721.53,75.52,351.71,984.68,92.29,225.18,2.32,109.02
623,7783.2,76.92,353.09,978.18,87.97,221.31,2.28,114.89
624,7913.23,85.04,349.44,999.42,90.4,226.11,2.43,129.05
625,7950.4,90.32,349.59,984.24,90.73,223.94,2.38,134.82
626,8043.64,94.16,351.26,994.58,88.68,224.87,2.49,135.86
627,8207.39,100.57,351.03,1017.77,91.05,235.83,2.29,149.62
628,8130.78,97.07,351.75,1009.31,89.23,227.91,2.29,144.32
629,8103.19,96.87,351.68,1011.95,91.04,230.24,2.13,154.34
630,8374.93,107.56,347.05,1016.27,87.24,232.1,2.35,164.53
631,8361.52,106.26,352.97,1035.89,90.5,235.88,2.13,171.59
632,8156.27,98.52,353.5,1018.52,89.38,228.95,1.99,150.84
633,8028.62,89.38,350.56,1004.97,91.72,235.71,2.43,135.63
634,8081.38,94.01,345.52,987.15,89.93,228.68,2.01,140.47
635,7980.19,91.17,349.66,998.67,91.87,231.32,2.27,142.87
636,7885.45,83.81,350.58,987.21,90.76,226.17,2.07,126.15
637,7718.81,73.69,346.57,960.14,89.81,223.57,2.39,106.63
638,7739.23,77.57,348.92,962.7,91.18,225.69,2.41,114.96
639,7623.77,71.51,345.77,954.97,91.19,226.83,2.31,99.78
640,7476.37,64.24,351.82,952.79,90.71,217.65,2.45,93.45
641,7587.26,69.73,350.5,955.0,86.56,218.38,2.25,101.16
642,7641.24,71.9,345.06,954.18,88.53,222.22,2.57,104.92
643,7506.4,66.99,351.05,952.51,92.08,222.81,2.36,93.66
644,7524.46,67.43,349.83,966.31,88.12,220.37,2.11,95.79
645,7625.16,72.04,351.55,970.81,91.32,223.26,2.24,101.53
646,7791.77,76.9,348.83,972.17,91.06,227.05,2.19,109.4
647,7658.37,74.7,347.6,961.77,88.91,223.45,2.18,104.28
648,7918.84,85.2,347.69,987.26,87.01,228.11,1.95,128.14
649,7941.51,89.68,348.39,991.44,89.15,227.98,2.26,133.75
650,8169.23,98.77,350.06,1010.05,93.12,234.36,2.0,153.3
651,8157.14,95.95,350.44,1013.9,88.71,225.82,1.83,149.89
652,8310.52,106.99,349.43,1014.55,88.81,228.5,2.17,162.88
653,8209.49,96.72,348.73,1004.58,88.5,228.84,2.1,144.67
654,8326.64,105.0,348.95,1016.23,91.82,233.2,2.1,162.81
655,8287.91,103.66,357.52,1046.77,89.64,235.99,1.76,164.38
656,8167.02,100.35,347.69,1008.49,89.06,229.05,2.08,151.99
657,8230.93,100.8,348.33,1015.32,92.12,234.8,2.18,161.88
658,8208.21,100.6,359.88,1037.1,90.87,231.13,2.11,154.26
659,8047.75,90.01,351.26,1005.87,88.62,230.8,2.26,143.41
660,7814.94,84.22,345.86,973.61,88.16,223.1,2.41,124.12
661,7861.05,83.19,352.53,987.47,91.74,227.76,2.28,126.12
662,7741.99,74.07,347.27,968.45,90.03,224.68,2.37,109.95
663,7645.5,77.32,352.73,977.55,87.68,222.48,2.39,114.59
664,7634.59,70.29,349.37,961.89,87.33,220.7,2.08,105.48
665,7516.65,67.6,348.68,953.79,88.33,218.72,2.32,92.32
666,7571.67,67.37,354.83,969.43,88.14,214.97,2.41,96.28
667,7696.38,73.07,351.7,971.07,86.93,218.73,2.17,103.08
668,7580.54,71.52,352.92,972.46,88.35,220.16,2.11,98.34
669,7667.42,71.69,351.3,960.34,88.62,219.44,2.32,99.96
670,7814.94,80.09,348.67,980.89,89.31,223.86,1.98,123.68
671,7941.31,85.67,351.83,991.27,92.54,231.14,2.04,127.19
672,7993.42,87.44,353.63,999.71,89.6,226.65,2.1,137.64
673,8006.02,90.71,350.4,1000.47,89.75,227.05,2.27,143.71
674,8253.43,102.1,355.4,1036.93,90.76,233.75,2.25,171.28
675,8293.4,105.85,352.55,1030.8,89.64,237.92,2.38,173.22
676,8479.15,111.69,350.64,1035.58,90.6,238.76,2.11,185.78
677,8413.39,110.68,350.75,1031.01,90.42,238.22,2.09,176.78
678,8458.09,110.34,350.41,1037.36,90.18,235.4,2.32,177.69
679,8388.49,107.2,346.25,1006.91,94.15,236.1,2.12,166.23
680,8397.41,108.93,349.73,1034.5,91.37,237.1,2.15,174.16
681,8370.59,105.76,350.66,1018.44,88.38,231.74,1.95,165.27
682,8313.17,103.15,348.75,1011.62,90.56,232.89,2.26,161.78
683,8142.93,96.45,351.01,1008.01,88.81,228.23,2.43,146.33
684,8012.53,91.91,350.06,1011.26,90.67,231.6,2.05,137.53
685,7906.04,84.61,352.32,1007.21,87.94,225.76,2.35,130.26
686,7897.51,83.42,351.99,999.48,88.34,225.95,2.19,123.84
687,7857.63,84.7,350.5,990.3,90.52,229.67,1.94,124.57
688,7746.3,75.47,345.9,953.48,91.5,220.31,2.08,106.54
689,7720.05,75.61,355.37,987.22,90.75,224.93,2.08,110.35
690,7713.99,77.67,349.57,969.94,91.28,227.25,2.17,115.73
691,7749.95,74.03,349.76,968.13,90.56,222.91,2.28,106.3
692,7848.92,78.66,348.97,979.25,90.26,224.71,2.49,119.09
693,7717.94,78.62,348.53,966.76,89.24,224.24,2.01,114.02
694,7838.14,83.94,354.63,1003.37,91.22,226.48,2.13,126.7
695,8005.83,87.38,354.16,996.15,91.54,227.45,2.07,131.24
696,7979.88,87.72,351.33,1000.13,89.91,226.33,2.01,128.79
697,8153.23,96.41,349.68,1004.73,89.82,226.61,2.22,148.26
698,8234.83,99.98,351.86,1021.44,92.39,234.89,2.21,158.68
699,8334.26,108.65,350.22,1029.99,89.97,233.21,1.96,175.37
700,8444.6,112.29,349.43,1031.27,90.11,236.8,2.26,174.85
701,8479.47,113.74,351.01,1040.0,90.73,240.49,2.07,178.52
702,8412.58,110.33,348.68,1029.16,89.85,240.22,2.25,173.74
703,8565.73,111.18,350.76,1036.25,88.77,235.87,2.44,182.22
704,8461.0,113.05,350.61,1038.43,90.57,240.11,2.33,182.37
705,8296.63,102.11,351.81,1030.11,89.94,235.51,2.25,159.31
706,8276.72,102.37,348.14,1010.21,92.76,234.73,2.14,153.73
707,8291.6,101.54,352.13,1024.37,91.18,230.6,2.22,157.16
708,8112.73,96.55,347.28,997.59,89.11,232.82,2.29,144.13
709,8075.31,89.96,348.28,994.41,91.09,228.14,2.27,138.3
710,7880.12,88.64,348.41,995.53,90.46,232.53,2.19,136.75
711,7873.81,86.15,346.78,981.6,91.96,230.35,2.24,124.34
712,7715.93,79.79,353.05,982.93,89.21,221.16,2.02,119.49
713,7705.23,78.5,347.09,970.13,90.28,225.61,2.1,116.02
714,7742.97,79.02,347.9,964.64,89.85,227.16,2.32,110.13
715,7634.61,73.48,353.77,980.74,90.09,226.2,2.35,107.24
716,7682.05,77.71,348.29,967.76,88.67,221.15,2.23,113.33
717,7877.22,83.72,349.44,980.71,90.86,224.95,2.42,123.7
718,7893.62,83.61,346.96,984.0,90.63,228.54,2.28,119.04
719,7986.54,87.1,352.5,999.95,91.93,229.35,2.17,131.84
720,8126.22,95.63,352.54,1012.87,89.98,232.88,2.02,149.12
721,8301.01,101.93,352.22,1024.15,89.38,234.05,2.43,164.51
722,8215.48,99.82,351.61,1033.17,91.18,233.23,2.32,156.65
723,8342.54,102.09,350.22,1020.73,88.81,233.46,2.49,158.08
724,8394.92,105.77,348.43,1015.7,91.63,235.13,2.56,164.15
725,8558.96,118.45,347.56,1028.4,91.62,239.08,2.08,189.45
726,8517.1,115.44,353.87,1054.94,91.89,241.35,2.07,189.43
727,8515.35,112.96,352.29,1053.94,90.56,242.74,1.83,187.06
728,8364.09,108.04,347.92,1019.56,89.27,236.22,2.37,166.02
729,8305.06,106.65,350.12,1030.71,90.16,234.6,2.32,170.56
730,8288.64,105.66,349.1,1024.88,90.57,235.78,2.24,164.38
731,8213.19,99.85,346.62,1003.59,89.16,230.48,2.03,152.54
732,8122.35,97.65,350.53,1008.25,92.0,229.38,2.19,154.86
733,7968.41,88.34,348.75,993.87,90.87,229.39,2.23,128.65
734,7898.17,86.11,347.14,986.91,88.66,230.58,2.32,127.59
735,7794.82,81.87,345.56,972.83,92.82,225.58,2.25,115.92
736,7828.52,79.95,345.31,964.1,90.15,224.55,2.31,115.83
737,7762.02,77.88,348.89,973.33,88.36,222.56,2.2,116.57
738,7596.06,71.96,349.74,974.95,88.75,223.6,2.41,105.54
739,7623.9,70.83,347.37,957.89,92.23,222.34,2.33,100.62
740,7778.93,78.62,351.95,990.16,92.74,225.95,2.03,121.0
741,7818.53,84.52,349.8,987.95,91.51,225.61,2.41,126.74
742,7854.61,80.09,351.73,988.94,91.98,230.56,2.39,121.45
743,7852.25,83.35,349.45,985.44,91.82,226.38,2.27,125.74
744,8046.92,92.4,347.64,1000.2,90.84,230.62,2.24,131.92
745,8194.82,99.83,350.34,1018.35,90.49,237.76,2.46,155.28
746,8357.33,102.33,346.21,1014.87,90.81,234.35,1.98,156.43
747,8332.87,107.29,351.62,1026.68,91.1,235.94,2.41,166.52
748,8307.04,105.45,347.19,1020.0,88.89,236.53,2.16,170.0
749,8366.23,108.63,352.75,1034.64,91.1,238.29,2.39,171.75
750,8388.84,108.65,348.98,1026.85,92.19,235.45,2.26,177.64
751,8427.14,107.71,353.19,1051.38,89.69,236.74,2.05,171.32
752,8292.6,106.92,346.63,1004.55,89.53,232.61,2.15,160.86
753,8314.55,107.9,347.97,1028.37,90.71,241.44,2.39,173.67
754,8296.82,105.59,351.14,1020.55,89.03,230.6,2.19,163.88
755,8216.87,97.67,353.51,1021.61,88.02,228.82,2.11,153.06
756,8001.24,88.41,355.0,1020.67,91.72,233.2,2.11,136.85
757,7995.95,87.27,350.12,988.09,89.32,227.23,2.3,129.36
758,7804.55,83.36,355.51,995.53,90.03,226.44,2.47,123.48
759,7770.33,76.63,349.13,973.4,89.08,221.59,1.89,112.13
760,7697.43,75.04,353.3,978.84,91.92,223.75,2.64,111.43
761,7653.04,72.06,347.17,964.39,91.28,225.22,2.26,108.66
762,7596.0,72.59,351.26,967.58,89.64,223.94,2.32,103.82
763,7617.94,72.26,342.97,950.89,88.23,220.87,2.17,101.35
764,7635.15,74.53,346.64,952.6,89.48,220.7,2.23,103.83
765,7631.33,72.97,351.4,959.09,90.86,218.71,2.27,107.94
766,7795.03,77.54,346.06,966.12,90.28,228.46,2.06,114.21
767,7833.45,80.51,351.28,978.57,90.16,224.44,2.09,112.06
768,7841.26,82.17,352.72,1002.83,90.32,230.73,2.38,118.71
769,8113.39,98.94,348.5,995.83,91.14,230.53,1.97,146.82
770,8189.07,100.61,347.09,1001.64,89.94,231.61,2.28,154.26
771,8292.71,103.52,348.58,1017.82,90.68,231.77,2.16,161.51
772,8302.45,100.81,347.1,1008.56,88.52,227.25,2.07,157.09
773,8387.22,107.06,349.7,1018.88,93.83,240.04,2.53,166.7
774,8275.01,105.05,350.31,1033.6,89.57,236.16,2.08,171.67
775,8208.64,103.58,349.08,1014.24,90.31,233.75,2.05,163.06
776,8132.06,100.5,355.02,1026.6,90.85,230.28,2.18,157.61
777,8239.28,102.91,347.84,1006.72,89.38,229.7,2.09,161.55
778,8086.85,93.33,354.17,1021.35,90.01,233.43,2.2,140.21
779,7914.66,85.45,346.88,985.68,89.99,231.6,2.22,126.99
780,7948.99,83.87,350.22,985.56,88.63,223.46,2.24,124.63
781,7836.34,82.73,353.55,988.88,90.66,226.83,2.19,124.38
782,7799.83,81.92,353.39,989.0,87.53,222.86,2.1,116.28
783,7664.9,74.13,348.74,970.34,92.63,226.22,2.32,106.75
784,7563.6,69.3,351.67,959.91,91.19,224.86,2.23,99.64
